Ticker,year,month,H_value,Price
T,2015,4,0.15984032122248754,34.64
T,2015,5,0.12474839776158209,34.54
T,2015,6,0.04070988657931694,35.52
T,2015,7,0.04022745449119481,34.74
T,2015,8,-0.021713467530043645,33.2
T,2015,9,0.015990815677524375,32.58
T,2015,10,0.07663146419035506,33.51
T,2015,11,0.02009081228357546,33.67
T,2015,12,0.04638048453351915,34.41
T,2016,1,0.06254402342920594,36.06
T,2016,2,0.09796905340921151,36.95
T,2016,3,0.16746942550745086,39.17
T,2016,4,0.14196130324311934,38.82
T,2016,5,0.10652689694624434,39.15
T,2016,6,0.15663621315766732,43.21
T,2016,7,0.07652789231770121,43.29
T,2016,8,0.11503964834547176,40.88
T,2016,9,0.14606389213306703,40.61
T,2016,10,0.08257389775931355,36.79
T,2016,11,0.04220235034596721,38.63
T,2016,12,0.2866510256393263,42.53
T,2017,1,0.13238992391772852,42.16
T,2017,2,0.28325290783704393,41.79
T,2017,3,0.08664307517885221,41.55
T,2017,4,0.1101160033597907,39.63
T,2017,5,0.10894857796236966,38.53
T,2017,6,0.10859735923016851,37.73
T,2017,7,0.10192371751854405,39.0
T,2017,8,-0.007840312460753347,37.46
T,2017,9,0.11789641058611242,39.17
T,2017,10,0.22637940600101958,33.65
T,2017,11,0.1759297649308011,36.38
T,2017,12,0.13218061274503198,38.88
T,2018,1,0.0662251368355663,37.45
T,2018,2,-0.06486771152010237,36.3
T,2018,3,-0.02664237969720688,35.65
T,2018,4,0.21577895033138758,32.7
T,2018,5,0.1233517101098189,32.32
T,2018,6,0.041701377085713656,32.11
T,2018,7,0.07874183070561229,31.97
T,2018,8,0.0468733660627535,31.94
T,2018,9,0.03600391773358345,33.58
T,2018,10,0.08804644636241384,30.68
T,2018,11,0.11251962251408869,31.24
T,2018,12,0.07011831610860508,28.54
T,2019,1,0.08213738309592848,30.06
T,2019,2,0.11408096784932882,31.12
T,2019,3,0.05780095605175939,31.36
T,2019,4,0.16756379150348708,30.96
T,2019,5,0.06955497880831152,30.58
T,2019,6,0.08333446266673575,33.51
T,2019,7,0.12453165879722299,34.05
T,2019,8,-0.009719762154537313,35.26
T,2019,9,0.10801373153227108,37.84
T,2019,10,0.13469235278651906,38.49
T,2019,11,0.08746805848151387,37.38
T,2019,12,0.10995502688764433,39.08
T,2020,1,0.15379111695229705,37.62
T,2020,2,0.09178637031518157,35.22
