PERMNO,date,TICKER,PRC
18163,2016-01-29,PG,81.69000
18163,2016-02-29,PG,80.29000
18163,2016-03-31,PG,82.31000
18163,2016-04-29,PG,80.12000
18163,2016-05-31,PG,81.04000
18163,2016-06-30,PG,84.67000
18163,2016-07-29,PG,85.59000
18163,2016-08-31,PG,87.31000
18163,2016-09-30,PG,89.75000
18163,2016-10-31,PG,86.80000
18163,2016-11-30,PG,82.46000
18163,2016-12-30,PG,84.08000
18163,2017-01-31,PG,87.60000
18163,2017-02-28,PG,91.07000
18163,2017-03-31,PG,89.85000
18163,2017-04-28,PG,87.33000
18163,2017-05-31,PG,88.09000
18163,2017-06-30,PG,87.15000
18163,2017-07-31,PG,90.82000
18163,2017-08-31,PG,92.27000
18163,2017-09-29,PG,90.98000
18163,2017-10-31,PG,86.34000
18163,2017-11-30,PG,89.99000
18163,2017-12-29,PG,91.88000
18163,2018-01-31,PG,86.34000
18163,2018-02-28,PG,78.52000
18163,2018-03-29,PG,79.28000
18163,2018-04-30,PG,72.34000
18163,2018-05-31,PG,73.17000
18163,2018-06-29,PG,78.06000
18163,2018-07-31,PG,80.88000
18163,2018-08-31,PG,82.95000
18163,2018-09-28,PG,83.23000
18163,2018-10-31,PG,88.68000
18163,2018-11-30,PG,94.51000
18163,2018-12-31,PG,91.92000
18163,2019-01-31,PG,96.47000
18163,2019-02-28,PG,98.55000
18163,2019-03-29,PG,104.05000
18163,2019-04-30,PG,106.48000
18163,2019-05-31,PG,102.91000
18163,2019-06-28,PG,109.65000
18163,2019-07-31,PG,118.04000
18163,2019-08-30,PG,120.23000
18163,2019-09-30,PG,124.38000
18163,2019-10-31,PG,124.51000
18163,2019-11-29,PG,122.06000
18163,2019-12-31,PG,124.90000
18163,2020-01-31,PG,124.62000
18163,2020-02-28,PG,113.23000
18163,2020-03-31,PG,110.00000
18163,2020-04-30,PG,117.87000
18163,2020-05-29,PG,115.92000
18163,2020-06-30,PG,119.57000
18163,2020-07-31,PG,131.12000
18163,2020-08-31,PG,138.33000
18163,2020-09-30,PG,138.99001
18163,2020-10-30,PG,137.10001
18163,2020-11-30,PG,138.87000
18163,2020-12-31,PG,139.14000
18163,2021-01-29,PG,128.21001
18163,2021-02-26,PG,123.53000
18163,2021-03-31,PG,135.42999
18163,2021-04-30,PG,133.42000
18163,2021-05-28,PG,134.85001
18163,2021-06-30,PG,134.92999
18163,2021-07-30,PG,142.23000
18163,2021-08-31,PG,142.39000
18163,2021-09-30,PG,139.80000
18163,2021-10-29,PG,142.99001
18163,2021-11-30,PG,144.58000
18163,2021-12-31,PG,163.58000
18163,2022-01-31,PG,160.45000
18163,2022-02-28,PG,155.89000
18163,2022-03-31,PG,152.80000
18163,2022-04-29,PG,160.55000
18163,2022-05-31,PG,147.88000
18163,2022-06-30,PG,143.78999
18163,2022-07-29,PG,138.91000
18163,2022-08-31,PG,137.94000
18163,2022-09-30,PG,126.25000
18163,2022-10-31,PG,134.67000
18163,2022-11-30,PG,149.16000
18163,2022-12-30,PG,151.56000
18163,2023-01-31,PG,142.38000
18163,2023-02-28,PG,137.56000
18163,2023-03-31,PG,148.69000
18163,2023-04-28,PG,156.38000
18163,2023-05-31,PG,142.50000
18163,2023-06-30,PG,151.74001
18163,2023-07-31,PG,156.30000
18163,2023-08-31,PG,154.34000
18411,2010-01-29,SO,32.00000
18411,2010-02-26,SO,31.77000
18411,2010-03-31,SO,33.16000
18411,2010-04-30,SO,34.56000
18411,2010-05-28,SO,32.70000
18411,2010-06-30,SO,33.28000
18411,2010-07-30,SO,35.33000
18411,2010-08-31,SO,36.69000
18411,2010-09-30,SO,37.24000
18411,2010-10-29,SO,37.87000
18411,2010-11-30,SO,37.72000
18411,2010-12-31,SO,38.23000
